,subspace,n_components,lambda,layer,score
622,xs,2,0.25,13,0.24
623,full,2,0.25,13,0.32
624,xs,2,0.25,14,0.25
625,full,2,0.25,14,0.25
626,xs,2,0.25,15,0.3
627,full,2,0.25,15,0.31
628,xs,2,0.25,16,0.39
629,full,2,0.25,16,0.29
630,xs,2,0.25,17,0.28
631,full,2,0.25,17,0.23
632,xs,2,0.25,18,0.3
633,full,2,0.25,18,0.23
634,xs,2,0.25,19,0.2
635,full,2,0.25,19,0.26
636,xs,2,0.25,20,0.16
637,full,2,0.25,20,0.23
638,xs,2,0.25,21,0.16
639,full,2,0.25,21,0.2
640,xs,2,0.25,22,0.31
641,full,2,0.25,22,0.26
642,xs,2,0.25,23,0.15
643,full,2,0.25,23,0.3
644,xs,2,0.3,1,0.27
645,full,2,0.3,1,0.25
646,xs,2,0.3,2,0.34
647,full,2,0.3,2,0.25
648,xs,2,0.3,3,0.25
649,full,2,0.3,3,0.26
650,xs,2,0.3,4,0.24
651,full,2,0.3,4,0.3
652,xs,2,0.3,5,0.29
653,full,2,0.3,5,0.35
654,xs,2,0.3,6,0.09
655,full,2,0.3,6,0.28
656,xs,2,0.3,7,0.17
657,full,2,0.3,7,0.21
658,xs,2,0.3,8,0.28
659,full,2,0.3,8,0.25
660,xs,2,0.3,9,0.23
661,full,2,0.3,9,0.24
662,xs,2,0.3,10,0.29
663,full,2,0.3,10,0.27
664,xs,2,0.3,11,0.38
665,full,2,0.3,11,0.3
666,xs,2,0.3,12,0.22
667,full,2,0.3,12,0.35
668,xs,2,0.3,13,0.2
669,full,2,0.3,13,0.27
670,xs,2,0.3,14,0.29
671,full,2,0.3,14,0.28
672,xs,2,0.3,15,0.3
673,full,2,0.3,15,0.32
674,xs,2,0.3,16,0.35
675,full,2,0.3,16,0.27
676,xs,2,0.3,17,0.27
677,full,2,0.3,17,0.22
678,xs,2,0.3,18,0.34
679,full,2,0.3,18,0.23
680,xs,2,0.3,19,0.18
681,full,2,0.3,19,0.29
682,xs,2,0.3,20,0.18
683,full,2,0.3,20,0.24
684,xs,2,0.3,21,0.18
685,full,2,0.3,21,0.2
686,xs,2,0.3,22,0.29
687,full,2,0.3,22,0.29
688,xs,2,0.3,23,0.17
689,full,2,0.3,23,0.31
690,xs,2,0.35,1,0.26
691,full,2,0.35,1,0.29
692,xs,2,0.35,2,0.32
693,full,2,0.35,2,0.27
694,xs,2,0.35,3,0.25
695,full,2,0.35,3,0.26
696,xs,2,0.35,4,0.23
697,full,2,0.35,4,0.26
698,xs,2,0.35,5,0.29
699,full,2,0.35,5,0.34
700,xs,2,0.35,6,0.11
701,full,2,0.35,6,0.27
702,xs,2,0.35,7,0.2
703,full,2,0.35,7,0.23
704,xs,2,0.35,8,0.27
705,full,2,0.35,8,0.25
706,xs,2,0.35,9,0.25
707,full,2,0.35,9,0.28
708,xs,2,0.35,10,0.26
709,full,2,0.35,10,0.26
710,xs,2,0.35,11,0.35
711,full,2,0.35,11,0.28
712,xs,2,0.35,12,0.22
713,full,2,0.35,12,0.32
714,xs,2,0.35,13,0.22
715,full,2,0.35,13,0.32
716,xs,2,0.35,14,0.26
717,full,2,0.35,14,0.26
718,xs,2,0.35,15,0.3
719,full,2,0.35,15,0.33
720,xs,2,0.35,16,0.37
721,full,2,0.35,16,0.28
722,xs,2,0.35,17,0.24
723,full,2,0.35,17,0.25
724,xs,2,0.35,18,0.26
725,full,2,0.35,18,0.22
726,xs,2,0.35,19,0.2
727,full,2,0.35,19,0.26
728,xs,2,0.35,20,0.19
729,full,2,0.35,20,0.22
730,xs,2,0.35,21,0.19
731,full,2,0.35,21,0.21
732,xs,2,0.35,22,0.29
733,full,2,0.35,22,0.31
734,xs,2,0.35,23,0.17
735,full,2,0.35,23,0.31
736,xs,5,0.0,1,0.3
737,full,5,0.0,1,0.27
738,xs,5,0.0,2,0.37
739,full,5,0.0,2,0.25
740,xs,5,0.0,3,0.19
741,full,5,0.0,3,0.21
742,xs,5,0.0,4,0.2
743,full,5,0.0,4,0.36
744,xs,5,0.0,5,0.25
745,full,5,0.0,5,0.34
746,xs,5,0.0,6,0.04
747,full,5,0.0,6,0.37
748,xs,5,0.0,7,0.14
749,full,5,0.0,7,0.29
750,xs,5,0.0,8,0.23
751,full,5,0.0,8,0.31
752,xs,5,0.0,9,0.31
753,full,5,0.0,9,0.32
754,xs,5,0.0,10,0.18
755,full,5,0.0,10,0.29
756,xs,5,0.0,11,0.32
757,full,5,0.0,11,0.33
758,xs,5,0.0,12,0.2
759,full,5,0.0,12,0.34
760,xs,5,0.0,13,0.24
761,full,5,0.0,13,0.27
762,xs,5,0.0,14,0.26
763,full,5,0.0,14,0.23
764,xs,5,0.0,15,0.29
765,full,5,0.0,15,0.24
766,xs,5,0.0,16,0.3
767,full,5,0.0,16,0.27
768,xs,5,0.0,17,0.26
769,full,5,0.0,17,0.23
770,xs,5,0.0,18,0.32
771,full,5,0.0,18,0.21
772,xs,5,0.0,19,0.17
773,full,5,0.0,19,0.21
774,xs,5,0.0,20,0.06
775,full,5,0.0,20,0.28
776,xs,5,0.0,21,0.17
777,full,5,0.0,21,0.27
778,xs,5,0.0,22,0.42
779,full,5,0.0,22,0.24
780,xs,5,0.0,23,0.08
781,full,5,0.0,23,0.33
782,xs,5,0.05,1,0.28
783,full,5,0.05,1,0.27
784,xs,5,0.05,2,0.3
785,full,5,0.05,2,0.24
786,xs,5,0.05,3,0.19
787,full,5,0.05,3,0.23
788,xs,5,0.05,4,0.21
789,full,5,0.05,4,0.36
790,xs,5,0.05,5,0.28
791,full,5,0.05,5,0.35
792,xs,5,0.05,6,0.06
793,full,5,0.05,6,0.36
794,xs,5,0.05,7,0.16
795,full,5,0.05,7,0.3
796,xs,5,0.05,8,0.28
797,full,5,0.05,8,0.28
798,xs,5,0.05,9,0.28
799,full,5,0.05,9,0.3
800,xs,5,0.05,10,0.18
801,full,5,0.05,10,0.3
802,xs,5,0.05,11,0.31
803,full,5,0.05,11,0.3
804,xs,5,0.05,12,0.2
805,full,5,0.05,12,0.36
806,xs,5,0.05,13,0.26
807,full,5,0.05,13,0.26
808,xs,5,0.05,14,0.31
809,full,5,0.05,14,0.25
810,xs,5,0.05,15,0.33
811,full,5,0.05,15,0.26
812,xs,5,0.05,16,0.28
813,full,5,0.05,16,0.27
814,xs,5,0.05,17,0.26
815,full,5,0.05,17,0.25
816,xs,5,0.05,18,0.31
817,full,5,0.05,18,0.23
818,xs,5,0.05,19,0.16
819,full,5,0.05,19,0.23
820,xs,5,0.05,20,0.1
821,full,5,0.05,20,0.25
822,xs,5,0.05,21,0.18
823,full,5,0.05,21,0.26
824,xs,5,0.05,22,0.42
825,full,5,0.05,22,0.25
826,xs,5,0.05,23,0.08
827,full,5,0.05,23,0.33
828,xs,5,0.1,1,0.28
829,full,5,0.1,1,0.33
830,xs,5,0.1,2,0.34
831,full,5,0.1,2,0.24
832,xs,5,0.1,3,0.19
833,full,5,0.1,3,0.21
834,xs,5,0.1,4,0.21
835,full,5,0.1,4,0.36
836,xs,5,0.1,5,0.32
837,full,5,0.1,5,0.38
838,xs,5,0.1,6,0.05
839,full,5,0.1,6,0.32
840,xs,5,0.1,7,0.16
841,full,5,0.1,7,0.28
